2021-07-03T17:04:35+00:00 CRITICAL Maximum execution time of 30 seconds exceeded в C:\MAMP\htdocs\wp-includes\Requests\Transport\cURL.php на строке 441

2021-07-03T20:43:41+00:00 CRITICAL syntax error, unexpected '@', expecting ')' в C:\MAMP\htdocs\wp-content\plugins\CRM\CRM.php на строке 24

2021-07-03T20:43:43+00:00 CRITICAL syntax error, unexpected '@', expecting ')' в C:\MAMP\htdocs\wp-content\plugins\CRM\CRM.php на строке 24

2021-07-03T20:43:43+00:00 CRITICAL syntax error, unexpected '@', expecting ')' в C:\MAMP\htdocs\wp-content\plugins\CRM\CRM.php на строке 24

2021-07-03T20:45:40+00:00 CRITICAL syntax error, unexpected '@', expecting ')' в C:\MAMP\htdocs\wp-content\plugins\CRM\CRM.php на строке 24

2021-07-03T20:45:42+00:00 CRITICAL syntax error, unexpected '@', expecting ')' в C:\MAMP\htdocs\wp-content\plugins\CRM\CRM.php на строке 24

2021-07-03T20:45:42+00:00 CRITICAL syntax error, unexpected '@', expecting ')' в C:\MAMP\htdocs\wp-content\plugins\CRM\CRM.php на строке 24

2021-07-03T20:46:02+00:00 CRITICAL syntax error, unexpected '@', expecting ')' в C:\MAMP\htdocs\wp-content\plugins\CRM\CRM.php на строке 24

2021-07-03T20:46:04+00:00 CRITICAL syntax error, unexpected '@', expecting ')' в C:\MAMP\htdocs\wp-content\plugins\CRM\CRM.php на строке 24

2021-07-03T20:46:04+00:00 CRITICAL syntax error, unexpected '@', expecting ')' в C:\MAMP\htdocs\wp-content\plugins\CRM\CRM.php на строке 24

